"","Exam","Question","Topic_1","Topic_2","Topic_3","Topic_4","Topic_5","Topic_6","Topic_7","Topic_8","Topic_9","Topic_10","Topic_11","Topic_12","Topic_13","Topic_14","Topic_15","Topic_16","Topic_17","Topic_18","Topic_19","Topic_20","DominantTopic","DominantLabel","DominantProb"
"48","CAOS",17,0.00225573489676386,0.0162008767352796,0.00219895543886396,0.000200462325321457,0.00935756051882253,0.000478453539761422,0.215774425226186,0.0375867169659186,0.00336985089444131,0.0419654775554565,0.0014793201077537,0.00277449244164978,0.00892842629417584,0.0515577600775182,0.00648871347357644,0.000383774008745874,0.0324892662129637,0.549491884076112,0.00596023946605104,0.0110576097446385,18,"Sample Size and Proportion Inference",0.549491884076112
"49","CAOS",18,0.0191383858701312,0.0281567732655823,0.000658079870301701,0.00015612515667764,0.00300709082823499,0.00406923650194569,0.0173168690619451,0.024461204497903,0.862394638038057,0.00662785308260883,0.00123718098855813,0.00066229711030196,0.00109020252760168,0.00589844881829441,0.00752385969641593,0.000529643067561984,0.00927949543071737,0.000663616293343201,0.00605623623956426,0.00107276365425413,9,"Procedural Statistical Computation",0.862394638038057
"50","CAOS",19,0.0181360524171759,0.0284856983402287,0.00343546787880795,0.000156409089365009,0.00426652615953023,0.000756407512669088,0.00683115812111986,0.0183530557897017,0.000311547150500933,0.00587122521926786,6.95512984255613e-05,8.00718941086277e-05,0.00140268096398689,0.00101484784821201,0.871896395983254,0.00370092388547358,0.0135182286679049,0.00093914268164192,0.0201848809483337,0.000589728150291154,15,"Hypothesis Testing and Statistical Decision Making",0.871896395983254
"51","CAOS",20,0.000519637724186075,0.000982579858843013,0.00105710533247552,0.000286362552878163,0.00672866008654484,0.000393834567820366,0.00798441400524917,0.00621499381954041,0.000532575754646145,0.000151050911857012,0.000253626249966945,0.00914191113058846,0.947056969878649,0.014049081380849,0.00115655172768814,0.00186844989009155,0.000324556865076349,0.000382226230332638,0.000836896423080007,7.85156096374589e-05,13,"Correlation and Scatterplot Interpretation",0.947056969878649
"52","CAOS",21,0.00045030598030305,0.00106448711206897,0.00142171466726724,0.00024138563680494,0.00288184140322858,0.000874959271154334,0.00251647193046756,0.0116412978854479,0.000382617251224602,0.000151072469068741,0.000225665595203812,0.00885785564001366,0.9449653181989,0.0174113280192803,0.00122366540127066,0.00364223677224717,0.000388476018496743,0.000265876510896464,0.00131886889223892,7.45553444164308e-05,13,"Correlation and Scatterplot Interpretation",0.9449653181989
"53","CAOS",22,0.024846975861052,0.0719120629289532,0.00346111393737134,0.000171805725227587,0.0109399932787913,0.00242344881003033,0.00837095369907848,0.019902817738943,0.0001969955348988,0.00536019041920979,5.1344932278427e-05,0.00015690172153834,0.0757378141637396,0.00248331811762488,0.0934075037506817,0.0056558692750113,0.0140018961840472,0.00131313066071768,0.658454668508611,0.00115119475219344,19,"Randomization and Causal Inference",0.658454668508611
"54","CAOS",23,0.00161273556045422,0.0119344384662747,0.0163512295802318,0.000213207954135111,0.00521578134341934,0.00101403315898413,0.0201820705261402,0.00483461198587237,0.000281975007575086,0.00512914787839822,0.000123797628310954,3.19637355193259e-05,0.00146243060243744,0.000801748035941261,0.79742878739864,0.00460667444510148,0.00692690445753446,0.00830370390266525,0.112792898101696,0.000751860230668641,15,"Hypothesis Testing and Statistical Decision Making",0.79742878739864
"55","CAOS",24,0.00129313250745581,0.00425655886022611,0.00120434736142203,7.8684260206783e-05,0.00205587821743117,0.00137741520381385,0.00212226866698587,0.00345230845953649,3.48612613722832e-05,0.00207963946133965,1.5524457675686e-05,7.57959132784052e-06,0.000914245551975063,0.0002217650262641,0.504129029883442,0.00697523754362418,0.00264943358395686,0.000295897336914852,0.466615248146131,0.000220944618898428,15,"Hypothesis Testing and Statistical Decision Making",0.504129029883442
"56","CAOS",25,0.0212476732638502,0.0357450873116688,0.0075856377038749,0.0003714034210068,0.00968030048704822,0.00658110759915435,0.0208235162915134,0.0214840908827162,0.00088506595641921,0.0320255286197944,0.000171201080170379,0.000172732528587871,0.00256615197467685,0.00319867225157745,0.701962439942167,0.00729041176320299,0.027793150150194,0.00328150659927673,0.095823234080843,0.0013110880922572,15,"Hypothesis Testing and Statistical Decision Making",0.701962439942167
"57","CAOS",26,0.000578401241014633,0.00227164523028031,0.00996407845989681,0.000145471341457233,0.00292456129105557,0.000630158233086447,0.0068540957119776,0.009411810635538,0.0003516823757736,0.0201010025722657,8.2101830522451e-05,3.84924899961273e-05,0.000929705643372069,0.000571720871343752,0.918639651852503,0.00243921958655942,0.00800564455684657,0.00116037590077545,0.0143531691486152,0.000547011027120443,15,"Hypothesis Testing and Statistical Decision Making",0.918639651852503
"58","CAOS",27,0.0186218897813529,0.0293430543831872,0.0114562796309807,0.000222738887040568,0.0147822913017636,0.000824464031404955,0.0107991367537134,0.0120624841724514,0.000500423156500892,0.0259645514953786,8.74991541974035e-05,8.05450175028679e-05,0.00139026389224121,0.00126222140108889,0.826616918572167,0.00497193738980076,0.0158450986050246,0.00143279639783941,0.0229453249926955,0.000790080983668194,15,"Hypothesis Testing and Statistical Decision Making",0.826616918572167
"59","CAOS",28,0.00162765101326681,0.00389837100954355,0.000424794722278031,0.000183231900536867,0.00371876090224557,0.000513867165471541,0.0121675052689086,0.0340804264735843,0.0006160588515921,0.00164196347412297,5.89579907241819e-05,0.000573938458399938,0.000504926957119299,0.0029049585389884,0.00783828071010324,0.000437200236889641,0.924844575156513,0.00256195883853479,0.00120718618349226,0.000195386147684923,17,"Confidence Interval Interpretation",0.924844575156513
"60","CAOS",29,0.00256225508156144,0.00459066452425699,0.00180388249341947,0.000194503394877489,0.00415336568796053,0.000891795334791204,0.0153949373499774,0.0509432422415402,0.00107388607892019,0.00313614994473582,8.56904517488821e-05,0.00541776436755063,0.00100386892606227,0.00759059100901314,0.00907582832434283,0.000588461192015933,0.881107415480889,0.008390052744211,0.00156142058949623,0.000434224782629323,17,"Confidence Interval Interpretation",0.881107415480889
"61","CAOS",30,0.00371711828338736,0.00427167900783785,0.00103302674464917,0.00065420977061015,0.00729022204868475,0.000717688577706317,0.137402863847109,0.0518132095770514,0.00563738115575719,0.00668783637460674,0.000174058415177681,0.0013966875210896,0.000880284162543289,0.00979395254931809,0.00930169187113213,0.00051235607219734,0.751487726294894,0.00500743458338739,0.00169504187105604,0.000525531271804542,17,"Confidence Interval Interpretation",0.751487726294894
